sample_id,mask_path,dice,iou,gt_edge_density,recon_edge_density,latent_min,latent_max,latent_mean,latent_std,latent_skewness,latent_excess_kurtosis,latent_p01,latent_p50,latent_p99
LIDC-IDRI-0657_0001,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0001.npz,0.9538551129746098,0.9117810781323061,0.0106353759765625,0.01007080078125,-0.15140607953071594,0.16077421605587006,0.024592680856585503,0.09299707412719727,-0.40013182163238525,-1.2399168014526367,-0.1357068806886673,0.04118351638317108,0.14511522874236107
LIDC-IDRI-0657_0002,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0002.npz,0.9513648021315679,0.9072409585959099,0.0108428955078125,0.01019744873046875,-0.1483638882637024,0.16085894405841827,0.024590570479631424,0.09294427931308746,-0.39937710762023926,-1.2410078048706055,-0.13448989987373353,0.03771072160452604,0.14491712227463724
LIDC-IDRI-0657_0003,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0003.npz,0.9547577864849919,0.9134320965417867,0.01050872802734375,0.01000518798828125,-0.14806540310382843,0.16138362884521484,0.024614816531538963,0.09295457601547241,-0.3994440734386444,-1.2410080432891846,-0.13406553864479065,0.043340446427464485,0.14538013562560081
LIDC-IDRI-0657_0004,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0004.npz,0.9522185681175839,0.9087950398270117,0.0108001708984375,0.01016082763671875,-0.15142080187797546,0.16083237528800964,0.02457309700548649,0.09301816672086716,-0.4008350074291229,-1.240163803100586,-0.13560017198324203,0.04000066313892603,0.14480515122413634
LIDC-IDRI-0657_0005,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0005.npz,0.9513687449354676,0.9072481297316669,0.010870361328125,0.01023712158203125,-0.15379200875759125,0.160845547914505,0.02460547536611557,0.09293606132268906,-0.3992975354194641,-1.2416002750396729,-0.1332196943461895,0.03915268927812576,0.14515737593173986
LIDC-IDRI-0657_0006,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0006.npz,0.9528032237659021,0.9098607304659098,0.01073760986328125,0.0102203369140625,-0.1478247195482254,0.16086408495903015,0.024606339633464813,0.0929654911160469,-0.4001013934612274,-1.240573763847351,-0.13528455868363382,0.04167452082037926,0.14473683163523673
LIDC-IDRI-0657_0007,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0007.npz,0.9539988284345818,0.9120437475293187,0.01084442138671875,0.010302734375,-0.14949537813663483,0.16088655591011047,0.024604087695479393,0.09300292283296585,-0.40038052201271057,-1.2392340898513794,-0.13550679832696916,0.04113752953708172,0.14494864642620087
LIDC-IDRI-0657_0008,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0008.npz,0.9553457692777496,0.9145090702569071,0.01053924560546875,0.00990447998046875,-0.14999468624591827,0.16067783534526825,0.024580972269177437,0.09294695407152176,-0.3990984559059143,-1.241697907447815,-0.1339286185801029,0.04114778898656368,0.14560264497995376
LIDC-IDRI-0657_0009,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0009.npz,0.9528662127346338,0.9099756156499198,0.0107879638671875,0.01014404296875,-0.15317386388778687,0.16088537871837616,0.02461087331175804,0.09301900863647461,-0.4003041982650757,-1.241294026374817,-0.13464466705918313,0.04219876974821091,0.1447018638253212
LIDC-IDRI-0657_0010,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0010.npz,0.9520030496257278,0.9084024999173308,0.0108154296875,0.010186767578125,-0.1504334807395935,0.1607946902513504,0.024593211710453033,0.09293658286333084,-0.3995068073272705,-1.2404677867889404,-0.13374339118599893,0.037518853321671486,0.14521251618862152
LIDC-IDRI-0657_0011,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0011.npz,0.9553875501773029,0.9145856440246922,0.0105865478515625,0.010015869140625,-0.15091583132743835,0.1608150154352188,0.02458248846232891,0.09294698387384415,-0.3998006582260132,-1.2411423921585083,-0.13418712839484215,0.04134491551667452,0.14457408562302593
LIDC-IDRI-0657_0012,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0012.npz,0.951479977445793,0.907450460629237,0.011016845703125,0.0105621337890625,-0.15363484621047974,0.16095981001853943,0.024619698524475098,0.09301462769508362,-0.40018314123153687,-1.240484595298767,-0.13525371253490448,0.037499599158763885,0.1449424557387829
LIDC-IDRI-0657_0013,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0013.npz,0.9511116799106467,0.9067806950406531,0.01095123291015625,0.01027069091796875,-0.15295638144016266,0.1607452780008316,0.02458277717232704,0.09295742213726044,-0.3986697793006897,-1.2423661947250366,-0.1329115442931652,0.03959706798195839,0.14580465555191044
LIDC-IDRI-0657_0014,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0014.npz,0.9528376655448478,0.9099235468974519,0.01076812744140625,0.01020965576171875,-0.15166591107845306,0.16094756126403809,0.024586506187915802,0.09301511198282242,-0.4010395407676697,-1.2406829595565796,-0.13545885533094407,0.041035158559679985,0.1448202729225159
LIDC-IDRI-0657_0015,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0015.npz,0.954630684105785,0.9131994497936726,0.01098175048828125,0.01033935546875,-0.15323187410831451,0.16082511842250824,0.024593090638518333,0.09299744665622711,-0.39968737959861755,-1.2402729988098145,-0.13465418964624404,0.04034991376101971,0.14522729441523555
LIDC-IDRI-0657_0016,/home/wenting/zr/wt_dataset/LIDC_IDRI/img_complex_fb_256_pseudomask_10ch/LIDC-IDRI-0657/0016.npz,0.9544920728126834,0.912945801741084,0.01058807373046875,0.0100433349609375,-0.15108944475650787,0.16056886315345764,0.024583490565419197,0.09293171018362045,-0.39896494150161743,-1.2426308393478394,-0.13348267823457718,0.042887511663138866,0.14522996172308922
